3Cnergy,502,CNER.SI
8Telecom,AZG,ETEL.SI
A-Smart,BQC,ASMA.SI
A-Sonic Aero,BTJ,ASON.SI
ABR,533,ABRH.SI
Abterra,L5I,ABTR.SI
Abundance Intl,541,ABUN.SI
Accordia Golf Tr,ADQU,ACCO.SI
Accrelist Ltd,QZG,ACCR.SI
Ace Achieve Info,A75,ACEA.SI
Acesian Partners,5FW,ACES.SI
Acma,AYV,ACMA.SI
Acromec,43F,ACRO.SI
Addvalue Tech,A31,AVAU.SI
Advanced,BLZ,ADVA.SI
Advanced Systems,5TY,ADSA.SI
Advancer Global,43Q,ADVN.SI
Adventus,5EF,ADVE.SI
AEI,AWG,AEIC.SI
AEM,AWX,AEM.SI
AF Global,L38,AFGL.SI
AGV,1A4,AGVG.SI
AIMS APAC Reit,O5RU,AIMA.SI
AIMS Property,BVP,APW.AX
AliPictures HKD,S91,ALIB.SI
Alita Resources,40F,ALIT.SI
Alliance HC,MIJ,ALLA.SI
Allied Tech,A13,ALLT.SI
Alpha Energy,5TS,ALPH.SI
Amara,A34,AMRA.SI
Amcorp Global,S9B,AMCO.SI
AMOS,RF7,AMOS.SI
Amplefield Ltd,AOF,AMPL.SI
AMTD IB OV,HKB,
AnAn Intl,Y35,ANAN.SI
Anchor Resources,43E,ANCH.SI
Anchun Intl,BTX,ANIH.SI
AnnAik,A52,AAIK.SI
Annica,5AL,ANHL.SI
Aoxin Q & M,1D4,AOXI.SI
AP Oil,5AU,AOIL.SI
APAC Realty,CLN,APAC.SI
ARA HTrust USD,XZL,ARAU.SI
ARA LOGOS Log Tr,K2LU,ARAL.SI
Arion Ent,YYB,ARIO.SI
Artivision Tech,5NK,ARTT.SI
Ascendas Reit,A17U,AEMN.SI
Ascendas-iTrust,CY6U,AINT.SI
Ascott Trust,HMN,ASCO.SI
Asia Enterprises,A55,AEHL.SI
Asia Fashion,BQI,ASFN.SI
Asia Vets,5RE,ASIV.SI
AsiaMedic,505,ASIM.SI
Asian Healthcare,1J3,ASAI.SI
Asian Micro,585,AMHL.SI
Asian Pay Tv Tr,S7OU,ASIA.SI
AsiaPhos,5WV,ASIP.SI
Asiatic,5CR,ATIC.SI
Asiatravel.com,5AM,ATVE.SI
ASL Marine,A04,ASLM.SI
Aspen,1F3,ASPE.SI
Aspial,A30,ASPA.SI
Astaka,42S,ASTA.SI
ASTI,575,ATIH.SI
Atlantic Nav,5UL,ATLA.SI
AusGroup,5GJ,AUSG.SI
Avarga,U09,AVAR.SI
Avi-Tech,BKY,AVTH.SI
AVJennings A$,A05,AVJ.AX
Axington,42U,AXIN.SI
Ayondo,1I5,AYON.SI
Azeus,BBW,AZEU.SI
B&M Hldg,CJN,BMHL.SI
Baker Technology,BTP,BATE.SI
Ban Leong,B26,BANL.SI
Banyan Tree,B58,BANY.SI
BBR,KJ5,BBRS.SI
Beng Kuang,BEZ,BENK.SI
Berlian LajuTank,B66,BLTA.JK
Best World,CGN,BEST.SI
Beverly JCG,VFP,BEVE.SI
BH Global,BQN,BHGC.SI
BHG Retail Reit,BMGU,BHGR.SI
Biolidics,8YY,BIOL.SI
BlackGoldNatural,41H,BLAC.SI
Blumont,A33,BLUM.SI
BMM,I9T,BMMO.SI
Boldtek,5VI,BOLD.SI
Bonvests,B28,BVHS.SI
Boustead,F9D,BTSS.SI
Boustead Proj,AVM,BOUS.SI
BRC Asia,BEC,BRCA.SI
Broadway Ind,B69,BRWY.SI
Brook Crompton,AWC,BROO.SI
Bukit Sembawang,B61,BSES.SI
Bumitama Agri,P8Z,BUMI.SI
Bund Center,BTE,BCIL.SI
Camsing Hc,BAC,CAMS.SI
CapitaCom Trust,C61U,CACT.SI
Capital World,1D5,CAPI.SI
CapitaLand,C31,CATL.SI
CapitaMall Trust,C38U,CMLT.SI
CapitaR China Tr,AU8U,CRCT.SI
Captii,AWV,CAPT.SI
Casa,C04,CASA.SI
CDL HTrust,J85,CDLT.SI
CDW,BXE,CDWH.SI
CEI,AVV,CEII.SI
Centurion,OU8,CNCL.SI
CFM,5EB,CFMH.SI
CH Offshore,C13,CHOF.SI
Challenger,573,CHAL.SI
Charisma Energy,5QT,CHAR.SI
Chasen,5NV,CHHL.SI
ChasWood Res,5TW,CHAS.SI
Chemical Ind,C05,CHEM.SI
Cheung Woh,C50,CHWO.SI
China Aviation,G92,CNAO.SI
China Env,5OU,CHEN.SI
China Env Res,RS1,1130.HK
China Everbright,U9E,CEWL.SI
China Fishery,B0Z,CNFG.SI
China Great Land,D50,CHIG.SI
China Haida,C92,CHHA.SI
China Hongxing,BR9,CHXS.SI
China Intl,BEH,CHNA.SI
China Jishan,J18,CJIS.SI
China Mining,BHD,CMIL.SI
China Paper,C71,CPHL.SI
China Real Estate,5RA,CHIR.SI
China Sky Chem,E90,CSKY.SI
China Sports,FQ8,CSIL.SI
China Star Food,42W,CHIA.SI
China Taisan,AZW,CTTG.SI
China Yuanbang,BCD,CYBP.SI
ChinaKangdaFood,P74,0834.HK
ChinaKundaTech,GU5,CKUN.SI
ChinaSunsine,QES,CHSN.SI
Chip Eng Seng,C29,CESE.SI
Choo Chiang,42E,CHOO.SI
Chuan Hup,C33,CHHS.SI
Citicode,5FH,CITC.SI
CityDev,C09,CTDM.SI
Civmec,P9D,CIVM.SI
Clearbridge,1H3,CLEA.SI
CNMC Goldmine,5TP,CNMC.SI
Colex,567,COLX.SI
Combine Will,N0Z,CWIHx.SI
ComfortDelGro,C52,CMDG.SI
Cordlife,P8A,CORD.SI
Cortina,C41,CORT.SI
COSCO SHP SG,F83,COSC.SI
CosmoSteel,B9S,COSM.SI
Courage Inv,CIN,1145.HK
CPH,539,CIPH.SI
Creative,C76,CREA.SI
CromwellReit EUR,CNNU,CROM.SI
CromwellReit SGD,CSFU,
CSC,C06,CSCH.SI
